Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Visibility_MeanRatio,Outlet_Years,Item_Fat_Content_0,Item_Fat_Content_1,Item_Fat_Content_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
FDX32,15.1,0.1000135,145.4786,OUT049,1999,1589.2646,1.026359813124039,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDS46,17.6,0.047257328,119.6782,OUT046,1997,2145.2076,0.922289906298101,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDF32,16.35,0.06802430000000001,196.4426,OUT013,1987,1977.4260000000002,1.1713313653743493,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDP49,9.0,0.06908896099999999,56.3614,OUT046,1997,1547.3192,1.0280725124413592,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,OUT018,2009,1621.8888,1.0031395479206202,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP49,9.0,0.06919637599999999,54.3614,OUT049,1999,718.3982,1.0296708923753675,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRI11,8.26,0.034237682,113.2834,OUT027,1985,2303.6679999999997,0.8704928693111866,28,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.10249212,230.5352,OUT035,2004,2748.4224,0.922115518306462,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDN22,18.85,0.138190277,250.8724,OUT013,1987,3775.086,1.1399044941112717,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDW12,8.315,0.035399923,144.5444,OUT027,1985,4064.0432,0.9543090781180374,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCB30,14.6,0.025698133999999997,196.5084,OUT035,2004,1587.2672,0.8628943947372766,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDC37,15.5,0.057556998,107.6938,OUT019,1985,214.3876,1.5315371875133978,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDR28,13.85,0.025896485,165.021,OUT046,1997,4078.025,0.9296326154440038,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
NCD06,13.0,0.099887103,45.906000000000006,OUT017,2007,838.908,0.9275067672165533,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDV10,7.645,0.06669343700000001,42.3112,OUT035,2004,1065.28,1.0602351029427202,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRJ59,11.65,0.019356131999999998,39.1164,OUT013,1987,308.9312,1.035277578029896,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDE51,5.925,0.161466534,45.5086,OUT010,1998,178.4344,1.4445814400022103,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDC14,14.5,0.072221801,43.6454,OUT019,1985,125.8362,1.679002681283213,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDV38,19.25,0.17034855100000001,55.7956,OUT010,1998,163.7868,1.4641166675359907,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCS17,18.6,0.080829372,96.4436,OUT018,2009,2741.7644,1.0031395405819457,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
FDP33,18.7,0.0930934742,256.6672,OUT018,2009,3068.0064,1.0,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDO23,17.85,0.14246229066666669,93.1436,OUT045,2002,2174.5028,1.0,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH01,17.5,0.097904029,174.8738,OUT046,1997,2085.2856,0.9222899199987084,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,10.0,0.08929113699999999,146.7102,OUT049,1999,3791.0652,0.8760887635003263,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,20.2,0.059511812000000004,128.0678,OUT027,1985,2797.6916,0.9544539631769144,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,8.85,0.113123893,122.5388,OUT018,2009,1609.9044,1.003139534910143,4,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,6.384999999999999,0.12311145300000001,36.9874,OUT027,1985,388.1614,1.0227997426879307,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,15.25,0.026480953999999998,87.6198,OUT027,1985,2180.495,0.9251308290764401,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,13.35,0.102511504,230.6352,OUT046,1997,3435.528,0.9222899150035627,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,9.8,0.02681843,126.00200000000001,OUT013,1987,2150.534,0.9215224160526706,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,13.6,0.117818348,192.9136,OUT049,1999,2527.3768,0.9310779364692868,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,21.35,0.06910283099999999,259.9278,OUT018,2009,6768.5228,0.9334195377024116,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,12.15,0.042277867000000004,126.5046,OUT013,1987,373.5138,0.9980787902561443,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,6.42,0.08949892599999999,178.1002,OUT010,1998,358.2004,1.464116667660315,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,19.6,0.018756953777777776,153.3024,OUT045,2002,2428.8384,1.0,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,10.0,0.025879577,265.2226,OUT045,2002,5815.0972,0.9241603460120508,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,15.85,0.121632721,60.622,OUT046,1997,2576.646,0.8747287915078714,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,10.195000000000002,0.25539489600000004,196.8794,OUT019,1985,780.3176,2.0308877247907904,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,7.39,0.067779712,143.8812,OUT046,1997,3134.5864,0.8747287887220742,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,10.195,0.159803853,141.5154,OUT013,1987,850.8924,1.0365304276483922,26,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,9.895,0.028696932,117.0492,OUT013,1987,810.9444,0.8740008759338731,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,10.895,0.065041581,196.3794,OUT017,2007,3121.2704,0.8796766099576357,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,12.15,0.028760012999999997,151.4708,OUT017,2007,4815.0656,0.9275067647960544,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,7.905,0.010053105,249.0408,OUT018,2009,6258.52,0.9334195624341675,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,9.195,0.048157338,106.1622,OUT045,2002,2117.244,0.9315179298292239,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,8.365,0.071958197,38.0506,OUT049,1999,796.9626,0.8760887617519185,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,15.1,0.17348130399999998,194.511,OUT046,1997,4910.275,1.1416630232284466,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,5.9399999999999995,0.061082177,180.0344,OUT019,1985,892.172,1.61481058875214,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,10.0,0.0364918673,246.9144,OUT018,2009,3185.1872,1.0,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,7.97,0.040071131,87.3514,OUT045,2002,1062.6168,0.8503936434710149,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,6.215,0.012090074,38.2848,OUT027,1985,484.7024,0.9251308536486637,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,15.5,0.15028599,51.0692,OUT019,1985,147.8076,1.8569920498948196,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,17.5,0.026015518999999997,255.8356,OUT027,1985,2543.356,1.1658562566726927,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,17.7,0.195068226,185.4266,OUT010,1998,184.4266,1.5560143953260468,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,19.35,0.033082215,172.5738,OUT035,2004,4865.6664,0.9221155127052099,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,13.65,0.078946455,186.024,OUT045,2002,1118.5439999999999,1.044138187445984,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,17.6,0.041700756,164.8526,OUT045,2002,2302.3364,0.8765027640696678,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,8.645,0.14342264300000002,95.84100000000001,OUT046,1997,2027.361,1.0277767942566969,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,15.6,0.10529607199999999,170.1764,OUT046,1997,3435.528,0.8747287875118142,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,15.85,0.121531501,59.222,OUT013,1987,599.22,0.8740008619873568,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,18.25,0.05810121044444445,164.7526,OUT045,2002,4604.6728,1.0,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,7.855,0.011324862,189.6188,OUT017,2007,2285.0256,0.9275067286121007,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,7.825,0.186357148,254.3698,OUT049,1999,5580.7356,1.029857103248895,14,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,8.39,0.024205661,114.0176,OUT046,1997,2290.3520000000003,0.9990697616442725,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,12.85,0.033230816,172.3422,OUT049,1999,1207.0954,0.9237238339071363,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,13.349999999999998,0.113720344,89.9804,OUT019,1985,643.1628,1.5315372016230429,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,19.0,0.11255650699999999,104.9622,OUT017,2007,1587.933,0.9275067671896534,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,5.905,0.04441604033333333,222.5456,OUT045,2002,5305.0944,1.0,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,7.76,0.05935224099999999,101.87,OUT046,1997,1697.79,0.8747287866525946,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,11.8,0.014087057,180.3344,OUT046,1997,1427.4752,1.1416114694007558,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,16.75,0.045230944,187.9556,OUT018,2009,4693.89,0.9260469457443702,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,18.849999999999998,0.293417759,194.6136,OUT019,1985,583.2408,1.6148105893820424,28,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,12.599999999999998,0.031382044,171.3764,OUT027,1985,3091.9752,0.8704928746102873,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,15.5,0.12639886,177.0028,OUT017,2007,2479.4392,0.9348909885210056,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,6.055,0.025403897999999998,160.99200000000002,OUT035,2004,2716.4640000000004,0.9988808402357965,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,20.2,0.039057677,155.963,OUT027,1985,3285.723,0.9541219242227013,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN33,6.305,0.123115764,95.6436,OUT046,1997,661.8052,0.9990697475981462,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,20.85,0.039624006,117.2808,OUT049,1999,1523.3504,1.163307491313076,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,20.75,0.040421193,122.17299999999999,OUT010,1998,369.519,1.7352530512933784,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRG27,8.895,0.10527411099999999,39.9138,OUT049,1999,690.4346,1.029670894287246,14,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,19.6,0.033970195,55.1614,OUT045,2002,1381.535,0.9315179184271948,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,19.7,0.053212652,57.893,OUT035,2004,622.523,0.9294568248579793,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,9.8,0.024378706,114.5492,OUT035,2004,1274.3412,0.9988808191929445,9,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDU04,7.93,0.009714595,120.0414,OUT019,1985,487.3656,2.03215612351227,28,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF41,12.15,0.131383762,246.046,OUT049,1999,1231.73,0.8760887632599259,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,8.75,0.07461309,187.4556,OUT035,2004,3755.112,1.1406381675043848,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,12.150000000000002,0.028459761,149.9708,OUT027,1985,4363.6532,0.9178236759482314,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,8.75,0.07462720099999999,187.8556,OUT046,1997,1314.2892,1.1408538876304597,16,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,13.3,0.063695084,151.0708,OUT045,2002,1805.6496,0.9241603474535889,11,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,20.599999999999998,0.045797829000000005,178.5344,OUT027,1985,2854.9504,1.031674956283392,28,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,8.31,0.11585722300000001,179.1028,OUT049,1999,3896.2616,1.1434172322184795,14,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,16.75,0.024832806000000002,38.7822,OUT013,1987,667.7974,1.0358550701475788,26,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,19.75,0.034027909,212.0902,OUT018,2009,3185.853,0.878292065399008,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,17.1,0.046769599999999995,141.1838,OUT013,1987,2247.7408,0.8740008565954392,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,10.5,0.11657670199999999,163.121,OUT013,1987,1794.3310000000001,1.0269770126654036,26,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,6.635,0.004924115333333334,121.3098,OUT045,2002,2530.7058,1.0,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,9.394999999999998,0.278974075,225.372,OUT019,1985,679.1160000000001,1.6148105888188795,28,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,14.15,0.035913805,41.4138,OUT013,1987,812.2760000000001,1.0320655400408245,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,13.3,0.079806266,232.53,OUT046,1997,699.09,0.9990697472460142,16,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,8.89,0.005505481,102.4016,OUT017,2007,2732.4432,0.8796765744587313,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,6.6899999999999995,0.064625342,176.937,OUT019,1985,176.437,2.2590030521565168,28,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDX34,6.195,0.071636937,121.7098,OUT027,1985,4097.3332,0.9942317071612333,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV11,9.1,0.078393078375,173.2054,OUT045,2002,3151.8972,1.0,11,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,7.5,0.032677677999999995,239.0906,OUT049,1999,5942.265,0.9600513321983414,14,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,16.85,0.160760054,192.4478,OUT017,2007,4843.695,0.9643770890741937,6,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,7.485,0.06911065,109.0228,OUT035,2004,2542.0244,0.9988808423019978,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,11.6,0.041177505,140.3154,OUT017,2007,2552.6772,1.178594921346777,6,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,11.65,0.040081193,227.0694,OUT018,2009,1141.847,0.8782920723575603,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCF19,13.0,0.035307322,47.5034,OUT017,2007,680.4476,0.8796766231887589,6,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DRJ13,12.65,0.063017847,159.0578,OUT045,2002,2085.9514,0.9315179229166382,11,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,20.25,0.171938781,92.512,OUT010,1998,186.424,1.7289048798428783,15,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ38,8.6,0.040197932,190.153,OUT035,2004,3036.048,1.0268322866030557,9,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,12.6,0.049058014000000004,62.7194,OUT017,2007,866.8716,0.9348909916042781,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,17.7,0.01161096,95.041,OUT035,2004,868.8689999999999,1.1524417273242413,9,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,14.15,0.183507295,82.4276,OUT046,1997,1137.1864,0.9990697492376226,16,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,19.25,0.102349519,52.7956,OUT017,2007,928.1252,0.8796766148142436,6,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,8.88,0.08670898699999999,151.7682,OUT013,1987,762.341,1.0363413496738674,26,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,20.5,0.032835147,40.2822,OUT045,2002,707.0796,1.0010958955480702,11,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDY25,12.0,0.033809913,180.5976,OUT027,1985,7968.2944,1.1363659495637664,28,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCH54,13.5,0.07266912,160.292,OUT046,1997,1438.128,0.862651744964282,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCR53,12.150000000000002,0.144338493,224.4404,OUT027,1985,6976.2524,0.954309088738357,28,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDS52,8.89,0.009163216,101.7016,OUT010,1998,101.2016,1.464116661542459,15,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDG02,7.855,0.011307038,188.5188,OUT018,2009,952.0939999999999,0.926046942176665,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCO26,7.235,0.076855628,116.0492,OUT046,1997,1969.4364,0.9296326048503732,16,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
